oyun,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
Age of Empires IV Anniversary Edition,0.5561,0.5278,0.4256,0.6003,0.48
ARK,0.5524,0.5271,0.4374,0.6045,0.4742
Balatro,0.5453,0.5156,0.4331,0.5882,0.4975
Baldurs gate 3,0.5648,0.5232,0.44,0.6069,0.4674
Battlefield 1,0.544,0.53,0.4269,0.6034,0.4895
Call of duty Warzone,0.5224,0.5301,0.3892,0.598,0.5297
Cities Skylines II,0.5415,0.5185,0.38,0.5833,0.5281
Crusader Kings III,0.5461,0.5355,0.4163,0.6015,0.4881
CS 2,0.5359,0.5389,0.421,0.6045,0.4927
Cyberpunk 2077,0.5676,0.5178,0.4357,0.6053,0.4732
Dead by daylight,0.5379,0.5247,0.4341,0.6056,0.4921
Dead cells,0.5524,0.5255,0.4228,0.6014,0.4856
DOOM eternal,0.5525,0.5191,0.4156,0.6059,0.496
EA SPORTS FC 25,0.5228,0.5287,0.4025,0.5921,0.5239
Elden ring,0.5568,0.5262,0.4295,0.6063,0.4784
Escape the backrooms,0.5464,0.5192,0.4535,0.5982,0.4794
Europa Universalis IV,0.5477,0.5362,0.4142,0.5991,0.4868
Euro Truck Simulator 2,0.55,0.5333,0.439,0.5986,0.4719
Expedition 33,0.5791,0.5166,0.4336,0.6072,0.4679
F1 24,0.5428,0.5241,0.4053,0.5953,0.503
Football Manager 2024,0.5377,0.5324,0.4294,0.5974,0.4928
Forza Horizon 5,0.552,0.5211,0.4315,0.592,0.483
God of War,0.5646,0.5246,0.4373,0.6079,0.47
GTA 5,0.5472,0.5335,0.4425,0.6038,0.4745
Hades,0.5686,0.5199,0.4441,0.6081,0.4637
Loop hero,0.5702,0.518,0.4232,0.5946,0.473
Mafia definitive edition,0.5621,0.5291,0.423,0.6055,0.4787
Manor lords,0.5677,0.5297,0.4204,0.6003,0.4711
NBA 2K25,0.5279,0.5234,0.4051,0.5876,0.5199
Need for Speed Unbound,0.5479,0.5162,0.4029,0.5873,0.5088
Outlast,0.547,0.5212,0.4161,0.6008,0.4991
Phasmophobia,0.5581,0.5106,0.458,0.6028,0.4712
Planet zoo,0.5703,0.5245,0.439,0.6012,0.4587
PUBG,0.5292,0.5325,0.4127,0.5965,0.5085
R.E.P.O,0.5515,0.5186,0.4833,0.6052,0.4571
Raft,0.5568,0.5211,0.4523,0.6022,0.4675
Rainbow six siege,0.5281,0.523,0.4294,0.5957,0.5066
RDR2,0.5619,0.5293,0.4398,0.6094,0.4679
Ready or Not,0.5504,0.5301,0.4228,0.6055,0.4825
Runied king,0.5611,0.5215,0.426,0.6032,0.4796
Rust,0.533,0.5336,0.4256,0.6034,0.4961
S.T.A.L.K.E.R. 2,0.5542,0.5188,0.4015,0.5988,0.5014
Sid Meier’s Civilization VI,0.5502,0.5333,0.4264,0.6008,0.4792
Slay the spire,0.5603,0.5211,0.4341,0.5985,0.476
Stardew Valley,0.5563,0.5207,0.4655,0.6046,0.4602
Street Fighter 6,0.5472,0.5267,0.4212,0.6032,0.4889
Supermarket simulator,0.5558,0.524,0.4377,0.5909,0.4734
Team Fortress 2,0.5367,0.5331,0.4208,0.6099,0.4948
The Crew 2,0.5453,0.5249,0.4165,0.5934,0.4945
The forest,0.5507,0.5326,0.4447,0.6084,0.471
The last of us I,0.5689,0.5205,0.4359,0.6052,0.4715
The long dark,0.5585,0.5206,0.4238,0.6024,0.4847
The Sims 4,0.55,0.5171,0.4324,0.5894,0.4887
The Witcher 3,0.5662,0.5271,0.4353,0.6073,0.4668
Total War WARHAMMER II,0.5478,0.5309,0.4228,0.6052,0.4838
